Figure subplot ,approximate location in scene,height_diffs_m,length_m,width,note,state of repair,max_berm_pixel_value,max_adjacent_pixel_value,detected
AOI5,3 of 6 in center,0.4,64,7,line,breach,1120.2,1119.8,Y
AOI5,4 of 6 in center,1.1,80,7,line,flank,1117.9,1116.8,N
AOI5,5 of 6 in center,0.3,98,6,line,breach,1112.8,1112.5,N
AOI5,6 of 6 in center,0.6,140,8,line,breach,1109.7,1109.1,Y
AOI5,lower right stock pond left berm,0.4,222,5,line,good,1097.2,1096.8,Y
AOI5,lower right stock pond upper entry berm,0.9,83,9,line,good,1096.3,1095.4,Y
AOI5,lower right stock pond lower entry berm,1.5,108,12,line,breach,1097,1095.5,Y
AOI5,berm right of lower stock pond,0.7,77,9,line,good,1093.3,1092.6,Y
AOI5,berm up and left of lower right stock pond,0.3,88,5,line,breach,1100,1099.7,Y
AOI5,berm directly up from stock pond (lanting up and right orientation),0.1,40,5,line,good,1096.8,1096.7,N
AOI5,second from right of group directly above right stock pond,0.4,41,7,line,good,1092.5,1092.1,Y
AOI5,bottom right chevron berm,0.9,187,10,chevron,breach,1087.1,1086.2,Y
AOI5,bottom right pair (upper),0.7,41,7,line,good,1083.6,1082.9,N
AOI5,bottom right pair(lower),0.6,52,8,line,good,1083.4,1082.8,Y
ALTAR,channelside berm upper left,0.6,360,7,curved,breach,1234.9,1234.3,Y
ALTAR,left valley berm (1),1,100,14,line,good,1237.7,1236.7,Y
ALTAR,left valley berm (2),1.2,107,10,line,good,1241.7,1240.5,Y
ALTAR,center valley berm (3),0,142,10,line,good,1249.3,1249.3,N
ALTAR,upper of group of three center valley berms,1.3,115,12,line,good,1255.9,1254.6,Y
ALTAR,lower of group of three center valley berms,1.7,166,11,curved,good,1255.9,1254.2,Y
ALTAR,right of group of three cetner valley berms,1.4,109,11,line,good,1258.2,1256.8,Y
ALTAR,second from right valley berm (7),1.4,160,10,hooked,good,1263.1,1261.7,Y
ALTAR,right valley berm (8),0.8,85,9,line,good,1265.2,1264.4,Y
ALTAR,leftmost berm attached to bulge,-0.9,53,12,line,good,1266,1266.9,N
ALTAR,center berm attached to bulge,-0.8,73,11,line,good,1272,1272.8,N
ALTAR,right berm attached to bulge,-2,104,11,chevron,good,1276,1278,N
