,S1,S11,S10,S9,S5,S4,S13,S3,S2,S12
20,1530.1811734006142,1530.1811734006142,1530.1811734006142,1530.1811734006142,1530.1811734006142,1530.1811734006142,1530.1811734006142,1530.1811734006142,1530.1811734006142,1530.1811734006142
21,4629.544936584093,4629.544936584093,4629.544936584093,4629.544936584093,4629.544936584093,4629.544936584093,4629.544936584093,4629.544936584093,4629.544936584093,4629.544936584093
22,2441.780194860019,2441.780194860019,2441.780194860019,2441.780194860019,2441.780194860019,2441.780194860019,2441.780194860019,2441.780194860019,2441.780194860019,2441.780194860019
23,5431.571241587784,5431.571241587784,5431.571241587784,5431.571241587784,5431.571241587784,5431.571241587784,5431.571241587784,5431.571241587784,5431.571241587784,5431.571241587784
24,2054.4699765193473,2054.4699765193473,2054.4699765193473,2054.4699765193473,2054.4699765193473,2054.4699765193473,2054.4699765193473,2054.4699765193473,2054.4699765193473,2054.4699765193473
25,3226.873221799573,3226.873221799573,3226.873221799573,3226.873221799573,3226.873221799573,3226.873221799573,3226.873221799573,3226.873221799573,3226.873221799573,3226.873221799573
26,1882.7959819906544,1882.7959819906544,1882.7959819906544,1882.7959819906544,1882.7959819906544,1882.7959819906544,1882.7959819906544,1882.7959819906544,1882.7959819906544,1882.7959819906544
27,2716.141576870269,2716.141576870269,2716.141576870269,2716.141576870269,2716.141576870269,2716.141576870269,2716.141576870269,2716.141576870269,2716.141576870269,2716.141576870269
28,3607.0471308888523,3607.0471308888523,3607.0471308888523,3607.0471308888523,3607.0471308888523,3607.0471308888523,3607.0471308888523,3607.0471308888523,3607.0471308888523,3607.0471308888523
29,2610.17674172804,2610.17674172804,2610.17674172804,2610.17674172804,2610.17674172804,2610.17674172804,2610.17674172804,2610.17674172804,2610.17674172804,2610.17674172804
30,7046.510016327064,7046.510016327064,7046.510016327064,7046.510016327064,7046.510016327064,7046.510016327064,7046.510016327064,7046.510016327064,7046.510016327064,7046.510016327064
31,1495.9043540059422,1495.9043540059422,1495.9043540059422,1495.9043540059422,1495.9043540059422,1495.9043540059422,1495.9043540059422,1495.9043540059422,1495.9043540059422,1495.9043540059422
32,1177.199570673,1177.199570673,1177.199570673,1177.199570673,1177.199570673,1177.199570673,1177.199570673,1177.199570673,1177.199570673,1177.199570673
33,3988.7795183193357,3988.7795183193357,3988.7795183193357,3988.7795183193357,3988.7795183193357,3988.7795183193357,3988.7795183193357,3988.7795183193357,3988.7795183193357,3988.7795183193357
34,1536.3003008631508,1536.3003008631508,1536.3003008631508,1536.3003008631508,1536.3003008631508,1536.3003008631508,1536.3003008631508,1536.3003008631508,1536.3003008631508,1536.3003008631508
35,1435.7471750720142,1435.7471750720142,1435.7471750720142,1435.7471750720142,1435.7471750720142,1435.7471750720142,1435.7471750720142,1435.7471750720142,1435.7471750720142,1435.7471750720142
36,2781.4516110756967,2781.4516110756967,2781.4516110756967,2781.4516110756967,2781.4516110756967,2781.4516110756967,2781.4516110756967,2781.4516110756967,2781.4516110756967,2781.4516110756967
37,1749.4753130090576,1749.4753130090576,1749.4753130090576,1749.4753130090576,1749.4753130090576,1749.4753130090576,1749.4753130090576,1749.4753130090576,1749.4753130090576,1749.4753130090576
38,2895.3113539051883,2895.3113539051883,2895.3113539051883,2895.3113539051883,2895.3113539051883,2895.3113539051883,2895.3113539051883,2895.3113539051883,2895.3113539051883,2895.3113539051883
39,1493.8435196770802,1493.8435196770802,1493.8435196770802,1493.8435196770802,1493.8435196770802,1493.8435196770802,1493.8435196770802,1493.8435196770802,1493.8435196770802,1493.8435196770802
40,1266.0310878114292,1266.0310878114292,1266.0310878114292,1266.0310878114292,1266.0310878114292,1266.0310878114292,1266.0310878114292,1266.0310878114292,1266.0310878114292,1266.0310878114292
41,2787.297242451451,2787.297242451451,2787.297242451451,2787.297242451451,2787.297242451451,2787.297242451451,2787.297242451451,2787.297242451451,2787.297242451451,2787.297242451451
42,1133.7524195186493,1133.7524195186493,1133.7524195186493,1133.7524195186493,1133.7524195186493,1133.7524195186493,1133.7524195186493,1133.7524195186493,1133.7524195186493,1133.7524195186493
43,1580.253979147317,1580.253979147317,1580.253979147317,1580.253979147317,1580.253979147317,1580.253979147317,1580.253979147317,1580.253979147317,1580.253979147317,1580.253979147317
44,2174.66032011438,2174.66032011438,2174.66032011438,2174.66032011438,2174.66032011438,2174.66032011438,2174.66032011438,2174.66032011438,2174.66032011438,2174.66032011438
45,2005.7791356160433,2005.7791356160433,2005.7791356160433,2005.7791356160433,2005.7791356160433,2005.7791356160433,2005.7791356160433,2005.7791356160433,2005.7791356160433,2005.7791356160433
46,1292.5597634578662,1292.5597634578662,1292.5597634578662,1292.5597634578662,1292.5597634578662,1292.5597634578662,1292.5597634578662,1292.5597634578662,1292.5597634578662,1292.5597634578662
47,3272.9577747438116,3272.9577747438116,3272.9577747438116,3272.9577747438116,3272.9577747438116,3272.9577747438116,3272.9577747438116,3272.9577747438116,3272.9577747438116,3272.9577747438116
48,1194.706744559151,1194.706744559151,1194.706744559151,1194.706744559151,1194.706744559151,1194.706744559151,1194.706744559151,1194.706744559151,1194.706744559151,1194.706744559151
49,2826.261670500812,2826.261670500812,2826.261670500812,2826.261670500812,2826.261670500812,2826.261670500812,2826.261670500812,2826.261670500812,2826.261670500812,2826.261670500812
50,3556.138821938102,3556.138821938102,3556.138821938102,3556.138821938102,3556.138821938102,3556.138821938102,3556.138821938102,3556.138821938102,3556.138821938102,3556.138821938102
51,1732.3222777708713,1732.3222777708713,1732.3222777708713,1732.3222777708713,1732.3222777708713,1732.3222777708713,1732.3222777708713,1732.3222777708713,1732.3222777708713,1732.3222777708713
52,1957.130781392703,1957.130781392703,1957.130781392703,1957.130781392703,1957.130781392703,1957.130781392703,1957.130781392703,1957.130781392703,1957.130781392703,1957.130781392703
53,1795.830796371059,1795.830796371059,1795.830796371059,1795.830796371059,1795.830796371059,1795.830796371059,1795.830796371059,1795.830796371059,1795.830796371059,1795.830796371059
54,1058.9703317286262,1058.9703317286262,1058.9703317286262,1058.9703317286262,1058.9703317286262,1058.9703317286262,1058.9703317286262,1058.9703317286262,1058.9703317286262,1058.9703317286262
55,934.0276379151742,934.0276379151742,934.0276379151742,934.0276379151742,934.0276379151742,934.0276379151742,934.0276379151742,934.0276379151742,934.0276379151742,934.0276379151742
56,1043.5400060029344,1043.5400060029344,1043.5400060029344,1043.5400060029344,1043.5400060029344,1043.5400060029344,1043.5400060029344,1043.5400060029344,1043.5400060029344,1043.5400060029344
57,2091.133437027348,2091.133437027348,2091.133437027348,2091.133437027348,2091.133437027348,2091.133437027348,2091.133437027348,2091.133437027348,2091.133437027348,2091.133437027348
58,1397.6068861306862,1397.6068861306862,1397.6068861306862,1397.6068861306862,1397.6068861306862,1397.6068861306862,1397.6068861306862,1397.6068861306862,1397.6068861306862,1397.6068861306862
59,5542.584867854474,5542.584867854474,5542.584867854474,5542.584867854474,5542.584867854474,5542.584867854474,5542.584867854474,5542.584867854474,5542.584867854474,5542.584867854474
60,1624.7398549511174,1624.7398549511174,1624.7398549511174,1624.7398549511174,1624.7398549511174,1624.7398549511174,1624.7398549511174,1624.7398549511174,1624.7398549511174,1624.7398549511174
61,2048.8014866907943,2048.8014866907943,2048.8014866907943,2048.8014866907943,2048.8014866907943,2048.8014866907943,2048.8014866907943,2048.8014866907943,2048.8014866907943,2048.8014866907943
62,921.4553072916428,921.4553072916428,921.4553072916428,921.4553072916428,921.4553072916428,921.4553072916428,921.4553072916428,921.4553072916428,921.4553072916428,921.4553072916428
63,2089.4040943704995,2089.4040943704995,2089.4040943704995,2089.4040943704995,2089.4040943704995,2089.4040943704995,2089.4040943704995,2089.4040943704995,2089.4040943704995,2089.4040943704995
64,1117.2298524046103,1117.2298524046103,1117.2298524046103,1117.2298524046103,1117.2298524046103,1117.2298524046103,1117.2298524046103,1117.2298524046103,1117.2298524046103,1117.2298524046103
65,1844.5312683699826,1844.5312683699826,1844.5312683699826,1844.5312683699826,1844.5312683699826,1844.5312683699826,1844.5312683699826,1844.5312683699826,1844.5312683699826,1844.5312683699826
66,1077.5309620818948,1077.5309620818948,1077.5309620818948,1077.5309620818948,1077.5309620818948,1077.5309620818948,1077.5309620818948,1077.5309620818948,1077.5309620818948,1077.5309620818948
67,1353.4076583168176,1353.4076583168176,1353.4076583168176,1353.4076583168176,1353.4076583168176,1353.4076583168176,1353.4076583168176,1353.4076583168176,1353.4076583168176,1353.4076583168176
68,1443.9203482594114,1443.9203482594114,1443.9203482594114,1443.9203482594114,1443.9203482594114,1443.9203482594114,1443.9203482594114,1443.9203482594114,1443.9203482594114,1443.9203482594114
69,1093.0923781951403,1093.0923781951403,1093.0923781951403,1093.0923781951403,1093.0923781951403,1093.0923781951403,1093.0923781951403,1093.0923781951403,1093.0923781951403,1093.0923781951403
70,3776.8956004328884,3776.8956004328884,3776.8956004328884,3776.8956004328884,3776.8956004328884,3776.8956004328884,3776.8956004328884,3776.8956004328884,3776.8956004328884,3776.8956004328884
71,5605.221983255638,5605.221983255638,5605.221983255638,5605.221983255638,5605.221983255638,5605.221983255638,5605.221983255638,5605.221983255638,5605.221983255638,5605.221983255638
72,2017.5274140493468,2017.5274140493468,2017.5274140493468,2017.5274140493468,2017.5274140493468,2017.5274140493468,2017.5274140493468,2017.5274140493468,2017.5274140493468,2017.5274140493468
73,1618.3422714578433,1618.3422714578433,1618.3422714578433,1618.3422714578433,1618.3422714578433,1618.3422714578433,1618.3422714578433,1618.3422714578433,1618.3422714578433,1618.3422714578433
